time,flex sensor,"actuator position, command","actuator position, measured",force,'Trial Number','Target Angle'
361.877,180.0,4.0,3.9361702127659584,-0.7,0,0
362.33,180.0,4.0,3.9361702127659584,-0.7,0,0
362.783,180.0,4.0,3.9787234042553195,-0.7,0,0
363.236,180.0,4.0,3.9361702127659584,-0.7,0,0
363.688,173.0,4.8533333333333335,4.319148936170214,-0.7,0,0
364.141,172.0,4.8533333333333335,4.702127659574469,-0.7,0,0
364.594,165.0,5.706666666666667,5.212765957446809,-0.7,0,0
365.046,164.0,5.92,5.531914893617021,-0.7,0,0
365.499,164.0,5.92,5.702127659574469,-0.7,0,0
365.952,164.0,5.92,5.702127659574469,-0.7,0,0
