trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong,r
1,3.5,4,3.5,4,3,1,0,1,0
2,3.75,4,4,3.75,1,3,0,2,1
3,3.5,4,3.5,4,3,1,0,3,0
4,3.25,4,4,3.25,1,1,1,3,1
5,3.5,4,4,3.5,1,1,2,3,1
6,3.25,4,4,3.25,1,1,3,3,1
7,3.5,4,3.5,4,3,3,4,3,0
8,3.75,4,4,3.75,1,1,5,3,1
9,3.5,4,3.5,4,3,3,6,3,0
10,3.5,4,3.5,4,3,3,7,3,0
11,3.25,4,3.25,4,3,3,8,3,0
12,3.25,4,3.25,4,3,3,9,3,0
13,3.25,4,3.25,4,3,3,10,3,0
14,3.5,4,3.5,4,3,3,11,3,0
15,3.75,4,3.75,4,3,3,12,3,0
16,3.25,4,4,3.25,1,3,12,4,1
17,3.75,4,3.75,4,3,3,13,4,0
18,3.75,4,4,3.75,1,3,13,5,1
19,3.75,4,4,3.75,1,3,13,6,1
20,3.25,4,3.25,4,3,3,14,6,0
21,3.5,4,4,3.5,1,3,14,7,1
22,3.75,4,4,3.75,1,3,14,8,1
23,3.75,4,4,3.75,1,3,14,9,1
24,3.75,4,3.75,4,3,3,15,9,0
25,3.25,4,3.25,4,3,3,16,9,0
26,3.5,4,3.5,4,3,3,17,9,0
27,3.5,4,4,3.5,1,1,18,9,1
28,3.25,4,4,3.25,1,1,19,9,1
29,3.25,4,3.25,4,3,3,20,9,0
30,3.75,4,3.75,4,3,3,21,9,0
