time,flex sensor,"actuator position, command","actuator position, measured",force,'Trial Number','Target Angle'
206.921,166.0,5.706666666666667,5.574468085106384,-0.7,0,0
207.373,166.0,5.706666666666667,5.638297872340425,-0.7,0,0
207.826,166.0,5.706666666666667,5.638297872340425,-0.7,0,0
208.278,166.0,5.706666666666667,5.680851063829786,-0.7,0,0
208.731,177.0,4.426666666666667,5.638297872340425,-0.7,0,0
209.183,173.0,4.8533333333333335,4.212765957446809,-0.7,0,0
209.636,171.0,5.066666666666666,4.702127659574469,-0.7,0,0
210.089,165.0,5.706666666666667,5.063829787234043,-0.7,0,0
210.541,162.0,6.133333333333333,5.595744680851064,-0.7,0,0
210.994,160.0,6.346666666666667,6.0,-0.7,0,0
211.446,155.0,6.773333333333333,6.617021276595745,-0.7,0,0
211.899,146.0,7.84,7.638297872340425,-0.7,0,0
212.351,142.0,8.266666666666666,7.936170212765957,-0.7,0,0
212.804,136.0,9.120000000000001,8.957446808510639,-0.7,0,0
213.256,131.0,9.546666666666667,9.085106382978724,-0.7,0,0
213.709,127.0,9.973333333333333,9.851063829787234,-0.7,0,0
214.161,128.0,9.973333333333333,10.085106382978724,-0.7,0,0
214.614,132.0,9.546666666666667,9.659574468085106,-0.7,0,0
215.066,141.0,8.48,8.787234042553191,-0.7,0,0
215.519,142.0,8.266666666666666,8.319148936170214,-0.7,0,0
215.971,142.0,8.266666666666666,8.23404255319149,-0.7,0,0
216.424,142.0,8.266666666666666,8.25531914893617,-0.7,0,0
