trialCount,Test,Reference,A,B,answerKey,userAnswer,nRight,nWrong,r
1,2.3,2.5,2.3,2.5,3,3,1,0,0
2,2.1,2.5,2.1,2.5,3,1,1,1,0
3,2.7,2.5,2.5,2.7,3,3,2,1,1
4,3.1,2.5,2.5,3.1,3,3,3,1,1
5,2.9,2.5,2.5,2.9,3,3,4,1,1
6,2.9,2.5,2.9,2.5,1,1,5,1,0
7,3.1,2.5,3.1,2.5,1,3,5,2,0
8,2.7,2.5,2.7,2.5,1,1,6,2,0
9,2.3,2.5,2.3,2.5,3,3,7,2,0
10,1.9,2.5,1.9,2.5,3,3,8,2,0
11,1.9,2.5,2.5,1.9,1,1,9,2,1
12,2.1,2.5,2.1,2.5,3,3,10,2,0
13,1.9,2.5,1.9,2.5,3,3,11,2,0
14,2.7,2.5,2.7,2.5,1,3,11,3,0
15,2.1,2.5,2.1,2.5,3,3,12,3,0
16,3.1,2.5,3.1,2.5,1,1,13,3,0
17,2.7,2.5,2.7,2.5,1,3,13,4,0
18,1.9,2.5,2.5,1.9,1,3,13,5,1
19,2.1,2.5,2.1,2.5,3,3,14,5,0
20,2.3,2.5,2.5,2.3,1,3,14,6,1
21,2.9,2.5,2.5,2.9,3,3,15,6,1
22,2.7,2.5,2.7,2.5,1,3,15,7,0
23,3.1,2.5,2.5,3.1,3,3,16,7,1
24,3.1,2.5,3.1,2.5,1,3,16,8,0
25,2.9,2.5,2.5,2.9,3,3,17,8,1
26,1.9,2.5,1.9,2.5,3,3,18,8,0
27,2.7,2.5,2.7,2.5,1,1,19,8,0
28,2.9,2.5,2.5,2.9,3,3,20,8,1
29,2.3,2.5,2.3,2.5,3,3,21,8,0
30,3.1,2.5,3.1,2.5,1,1,22,8,0
31,2.1,2.5,2.1,2.5,3,3,23,8,0
32,2.9,2.5,2.5,2.9,3,3,24,8,1
33,3.1,2.5,2.5,3.1,3,1,24,9,1
34,3.1,2.5,2.5,3.1,3,1,24,10,1
35,1.9,2.5,1.9,2.5,3,3,25,10,0
36,2.1,2.5,2.1,2.5,3,1,25,11,0
37,2.1,2.5,2.1,2.5,3,3,26,11,0
38,2.3,2.5,2.3,2.5,3,3,27,11,0
39,2.7,2.5,2.5,2.7,3,3,28,11,1
40,2.3,2.5,2.5,2.3,1,3,28,12,1
41,2.1,2.5,2.5,2.1,1,1,29,12,1
42,1.9,2.5,2.5,1.9,1,3,29,13,1
43,1.9,2.5,1.9,2.5,3,3,30,13,0
44,2.7,2.5,2.5,2.7,3,1,30,14,1
45,2.1,2.5,2.1,2.5,3,3,31,14,0
46,2.9,2.5,2.9,2.5,1,3,31,15,0
47,2.3,2.5,2.3,2.5,3,3,32,15,0
48,1.9,2.5,2.5,1.9,1,1,33,15,1
49,2.9,2.5,2.5,2.9,3,3,34,15,1
50,1.9,2.5,1.9,2.5,3,3,35,15,0
51,2.3,2.5,2.3,2.5,3,3,36,15,0
52,2.7,2.5,2.7,2.5,1,3,36,16,0
53,3.1,2.5,2.5,3.1,3,3,37,16,1
54,2.3,2.5,2.5,2.3,1,1,38,16,1
55,2.3,2.5,2.3,2.5,3,3,39,16,0
56,3.1,2.5,3.1,2.5,1,1,40,16,0
57,2.1,2.5,2.1,2.5,3,3,41,16,0
58,2.9,2.5,2.9,2.5,1,1,42,16,0
59,2.9,2.5,2.9,2.5,1,1,43,16,0
60,2.7,2.5,2.5,2.7,3,3,44,16,1
