trialCount,Test,Reference,A,B,answerKey,userAnswer,nRight,nWrong,r
1,4.9,4,4,4.9,3,3,1,0,1
2,3.4,4,4,3.4,1,1,2,0,1
3,3.4,4,4,3.4,1,3,2,1,1
4,4.6,4,4.6,4,1,1,3,1,0
5,3.1,4,4,3.1,1,1,4,1,1
6,3.4,4,4,3.4,1,3,4,2,1
7,4.6,4,4,4.6,3,3,5,2,1
8,4.9,4,4,4.9,3,3,6,2,1
9,4.6,4,4,4.6,3,3,7,2,1
10,3.7,4,3.7,4,3,1,7,3,0
11,4.9,4,4.9,4,1,1,8,3,0
12,4.9,4,4,4.9,3,3,9,3,1
13,4.3,4,4,4.3,3,3,10,3,1
14,3.1,4,3.1,4,3,3,11,3,0
15,3.7,4,4,3.7,1,1,12,3,1
16,4.9,4,4.9,4,1,1,13,3,0
17,3.4,4,4,3.4,1,3,13,4,1
18,4.3,4,4,4.3,3,3,14,4,1
19,3.7,4,4,3.7,1,3,14,5,1
20,3.1,4,4,3.1,1,3,14,6,1
21,3.1,4,3.1,4,3,3,15,6,0
22,4.9,4,4,4.9,3,3,16,6,1
23,4.6,4,4.6,4,1,1,17,6,0
24,4.3,4,4.3,4,1,1,18,6,0
25,4.6,4,4.6,4,1,3,18,7,0
26,4.9,4,4,4.9,3,3,19,7,1
27,4.3,4,4.3,4,1,3,19,8,0
28,4.6,4,4.6,4,1,1,20,8,0
29,3.4,4,3.4,4,3,1,20,9,0
30,3.4,4,3.4,4,3,3,21,9,0
31,3.4,4,3.4,4,3,3,22,9,0
32,3.7,4,4,3.7,1,3,22,10,1
33,3.1,4,3.1,4,3,3,23,10,0
34,4.3,4,4.3,4,1,1,24,10,0
35,3.4,4,3.4,4,3,3,25,10,0
36,4.3,4,4.3,4,1,1,26,10,0
37,3.1,4,4,3.1,1,1,27,10,1
38,4.9,4,4,4.9,3,3,28,10,1
39,3.1,4,3.1,4,3,3,29,10,0
40,4.6,4,4.6,4,1,1,30,10,0
41,3.1,4,4,3.1,1,1,31,10,1
42,4.6,4,4,4.6,3,3,32,10,1
43,3.7,4,4,3.7,1,1,33,10,1
44,4.3,4,4,4.3,3,3,34,10,1
45,4.9,4,4,4.9,3,3,35,10,1
46,4.6,4,4,4.6,3,3,36,10,1
47,4.3,4,4.3,4,1,1,37,10,0
48,3.7,4,3.7,4,3,3,38,10,0
49,3.1,4,3.1,4,3,3,39,10,0
50,3.4,4,3.4,4,3,3,40,10,0
51,4.3,4,4,4.3,3,3,41,10,1
52,3.7,4,3.7,4,3,3,42,10,0
53,3.4,4,4,3.4,1,1,43,10,1
54,3.7,4,4,3.7,1,3,43,11,1
55,4.3,4,4.3,4,1,1,44,11,0
56,4.6,4,4.6,4,1,1,45,11,0
57,4.9,4,4,4.9,3,3,46,11,1
58,3.7,4,3.7,4,3,3,47,11,0
59,3.1,4,4,3.1,1,1,48,11,1
60,3.7,4,4,3.7,1,1,49,11,1
