trialCount,Test,Reference,A,B,answerKey,userAnswer,nRight,nWrong,r
1,3.7,4,4,3.7,1,1,1,0,1
2,4.6,4,4,4.6,3,3,2,0,1
3,3.7,4,4,3.7,1,1,3,0,1
4,4.9,4,4.9,4,1,1,4,0,0
5,3.1,4,3.1,4,3,3,5,0,0
6,3.7,4,3.7,4,3,1,5,1,0
7,4.6,4,4.6,4,1,1,6,1,0
8,3.4,4,4,3.4,1,1,7,1,1
9,3.4,4,4,3.4,1,1,8,1,1
10,4.3,4,4.3,4,1,3,8,2,0
11,3.1,4,3.1,4,3,3,9,2,0
12,4.6,4,4.6,4,1,3,9,3,0
13,4.6,4,4,4.6,3,3,10,3,1
14,4.3,4,4.3,4,1,1,11,3,0
15,4.6,4,4.6,4,1,1,12,3,0
16,4.9,4,4.9,4,1,1,13,3,0
17,3.4,4,4,3.4,1,1,14,3,1
18,4.9,4,4,4.9,3,3,15,3,1
19,3.1,4,3.1,4,3,3,16,3,0
20,3.4,4,4,3.4,1,1,17,3,1
21,3.4,4,4,3.4,1,1,18,3,1
22,4.6,4,4,4.6,3,3,19,3,1
23,3.4,4,4,3.4,1,1,20,3,1
24,3.7,4,3.7,4,3,3,21,3,0
25,3.1,4,4,3.1,1,1,22,3,1
26,3.4,4,3.4,4,3,3,23,3,0
27,3.4,4,4,3.4,1,1,24,3,1
28,4.6,4,4.6,4,1,3,24,4,0
29,4.3,4,4,4.3,3,3,25,4,1
30,3.1,4,4,3.1,1,1,26,4,1
