time,flex sensor,"actuator position, command","actuator position, measured",force,'Trial Number','Target Angle'
128.574,180.0,4.0,3.8510638297872326,-0.7,0,0
129.027,180.0,4.0,4.0212765957446805,-0.7,0,0
129.479,180.0,4.0,3.9361702127659584,-0.7,0,0
129.932,180.0,4.0,3.829787234042552,-0.7,0,0
130.384,180.0,4.0,3.914893617021278,-0.7,0,0
130.837,180.0,4.0,3.914893617021278,-0.7,0,0
131.29,180.0,4.0,3.9361702127659584,-0.7,0,0
131.743,177.0,4.426666666666667,3.8936170212765973,-0.7,0,0
132.195,177.0,4.426666666666667,4.361702127659575,-0.7,0,0
132.648,175.0,4.64,4.340425531914894,-0.7,0,0
133.101,171.0,5.066666666666666,4.659574468085106,-0.7,0,0
133.554,170.0,5.066666666666666,4.851063829787234,-0.7,0,0
134.006,167.0,5.493333333333333,5.148936170212766,-0.7,0,0
134.459,162.0,6.133333333333333,5.829787234042554,-0.7,0,0
134.912,155.0,6.773333333333333,6.361702127659575,-0.7,0,0
135.364,152.0,7.2,6.787234042553191,-0.7,0,0
135.817,148.0,7.626666666666667,7.617021276595745,-0.7,0,0
136.269,154.0,6.986666666666666,7.574468085106384,-0.7,0,0
136.722,161.0,6.133333333333333,6.446808510638299,-0.7,0,0
137.174,165.0,5.706666666666667,6.042553191489361,-0.7,0,0
137.627,166.0,5.706666666666667,5.659574468085106,-0.7,0,0
138.079,166.0,5.706666666666667,5.702127659574469,-0.7,0,0
138.532,166.0,5.706666666666667,5.680851063829786,-0.7,0,0
