trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong,r
1,6.9,9.89,9.89,6.9,1,1,0,1,1,0,1
2,8.69,9.89,8.69,9.89,3,3,0,1,2,0,0
3,10.94,9.89,10.94,9.89,1,1,0,3,3,0,0
4,10.94,9.89,10.94,9.89,1,1,1,3,4,0,0
5,8.69,9.89,9.89,8.69,1,1,1,1,5,0,1
6,9.75,9.89,9.75,9.89,3,1,1,3,5,1,0
7,9.75,9.89,9.75,9.89,3,3,1,1,6,1,0
8,10.94,9.89,10.94,9.89,1,1,1,3,7,1,0
9,10.94,9.89,9.89,10.94,3,3,2,3,8,1,1
10,9.75,9.89,9.75,9.89,3,1,2,3,8,2,0
11,9.75,9.89,9.75,9.89,3,1,3,3,8,3,0
12,8.56,9.89,8.56,9.89,3,3,3,1,9,3,0
13,9.07,9.89,9.07,9.89,3,1,3,3,9,4,0
14,9.07,9.89,9.89,9.07,1,1,3,1,10,4,1
15,9.61,9.89,9.61,9.89,3,3,3,1,11,4,0
16,10.18,9.89,10.18,9.89,1,1,3,3,12,4,0
17,10.18,9.89,10.18,9.89,1,1,4,3,13,4,0
18,9.61,9.89,9.89,9.61,1,3,4,3,13,5,1
19,9.61,9.89,9.89,9.61,1,3,5,3,13,6,1
20,9.04,9.89,9.89,9.04,1,1,5,1,14,6,1
21,9.58,9.89,9.58,9.89,3,3,5,1,15,6,0
22,10.15,9.89,9.89,10.15,3,1,5,1,15,7,1
23,10.75,9.89,9.89,10.75,3,3,5,3,16,7,1
24,10.75,9.89,9.89,10.75,3,3,6,3,17,7,1
25,10.15,9.89,9.89,10.15,3,3,6,3,18,7,1
26,10.15,9.89,9.89,10.15,3,3,7,3,19,7,1
27,9.55,9.89,9.89,9.55,1,3,7,3,19,8,1
28,9.55,9.89,9.55,9.89,3,3,7,1,20,8,0
29,10.12,9.89,9.89,10.12,3,3,7,3,21,8,1
30,10.12,9.89,9.89,10.12,3,3,8,3,22,8,1
31,9.55,9.89,9.55,9.89,3,1,8,3,22,9,0
32,9.55,9.89,9.89,9.55,1,1,8,1,23,9,1
33,10.12,9.89,9.89,10.12,3,3,8,3,24,9,1
34,10.12,9.89,9.89,10.12,3,3,9,3,25,9,1
