time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
255,22.68,30.72,254.00,0
255,111.22,124.35,254.00,0
252,207.99,217.60,254.00,0
252,262.69,266.07,253.00,0
252,273.63,273.04,253.00,0
252,263.94,262.39,253.00,0
252,253.11,252.17,253.00,0
252,248.57,248.44,253.00,0
252,249.24,249.48,253.00,0
252,251.29,251.50,253.00,0
255,252.57,252.69,253.00,0
252,253.26,253.29,253.00,0
252,253.19,253.15,253.00,0
252,252.81,252.75,253.00,0
252,252.38,252.34,252.00,0
252,252.12,252.10,252.00,0
252,252.00,252.00,252.00,0
252,251.98,251.98,252.00,0
255,252.00,252.01,252.00,0
252,252.33,252.37,252.00,0
252,252.61,252.64,252.00,0
253,252.76,252.78,253.00,0
252,252.83,252.82,252.00,0
252,252.60,252.55,252.00,0
252,252.24,252.20,252.00,0
252,252.17,252.21,252.00,0
252,252.49,252.51,252.00,0
252,252.56,252.57,252.00,0
252,252.68,252.69,252.00,0
255,252.70,252.74,253.00,0
253,253.24,253.31,253.00,0
252,253.65,253.70,253.00,0
252,253.78,253.75,253.00,0
251,253.19,253.08,253.00,0
252,252.17,252.05,253.00,0
252,251.59,251.60,253.00,0
252,251.88,251.93,253.00,0
255,252.19,252.21,253.00,0
253,252.43,252.46,253.00,0
252,252.73,252.76,253.00,0
252,252.82,252.80,253.00,0
255,252.55,252.51,253.00,0
20,-0.26,0
40,-0.09,0
60,0.18,0
80,-0.09,0
100,-0.09,0
