""






















1.00, 2394912.00, -22.06," 2396361.00
"
2.00, 3623457.00, -17.97," 3625906.00
"
3.00, 5353822.00, -14.41," 5357271.00
"
4.00, 7586566.00, -17.02," 7591016.00
"
5.00, 10321017.00, -15.38," 10326468.00
"
"Fín
"









































































































































































































































































































































































































































































































































































