trialCount,Test,Reference,A,B,answerKey,userAnswer,nRight,nWrong,r
1,2.84,4.0,2.84,4.0,3,3,0,1,1,0,0
2,3.58,4.0,4.0,3.58,1,1,0,1,2,0,1
3,4.51,4.0,4.0,4.51,3,3,0,3,3,0,1
4,4.51,4.0,4.51,4.0,1,1,1,3,4,0,0
5,3.58,4.0,4.0,3.58,1,1,1,1,5,0,1
6,4.02,4.0,4.0,4.02,3,1,1,1,5,1,1
7,4.51,4.0,4.0,4.51,3,3,1,3,6,1,1
8,4.51,4.0,4.0,4.51,3,3,2,3,7,1,1
9,4.02,4.0,4.0,4.02,3,1,2,1,7,2,1
10,4.26,4.0,4.0,4.26,3,3,2,3,8,2,1
11,4.26,4.0,4.0,4.26,3,3,3,3,9,2,1
12,4.02,4.0,4.02,4.0,1,3,3,1,9,3,0
13,4.26,4.0,4.0,4.26,3,1,3,1,9,4,1
